<<<<<<< HEAD
GEO.id,GEO.id2,GEO.display-label,YEAR.id,SCHEXPCS_PP,SCHEXPCSFSW_PP,SCHEXPCSFEB_PP,SCHEXPCSIT_PP,SCHEXPCSISW_PP,SCHEXPCSIEB_PP,SCHEXPCSST_PP,SCHEXPCSSPS_PP,SCHEXPCSSIS_PP,SCHEXPCSSGA_PP,SCHEXPCSSSA_PP
0400000US29,29,Missouri,2016,10313,6436,1987,6156,4251,1294,3700,466,478,363,599
0400000US30,30,Montana,2016,11348,6571,2032,6701,4462,1346,4125,743,416,358,632
0400000US31,31,Nebraska,2016,12299,7103,2488,8008,5059,1820,3642,579,389,352,582
0400000US32,32,Nevada,2016,8960,5324,2209,5183,3410,1404,3409,489,535,128,636
0400000US33,33,New Hampshire,2016,15340,8308,3886,9610,5959,2781,5341,1214,515,557,882
0400000US34,34,New Jersey,2016,18402,10492,4914,10716,6870,3116,6999,2025,594,368,922
0400000US35,35,New Mexico,2016,9693,5754,2022,5418,3807,1319,3789,992,252,203,567
0400000US36,36,New York,2016,22366,12303,6461,15746,9407,5101,6130,672,553,349,811
0400000US37,37,North Carolina,2016,8792,5571,1855,5513,3828,1255,2806,443,323,97,553
0400000US38,38,North Dakota,2016,13373,8037,2948,8005,5446,2042,4380,537,460,575,688
0400000US39,39,Ohio,2016,12102,6986,2727,7071,4571,1691,4613,835,507,347,643
0400000US40,40,Oklahoma,2016,8097,4490,1551,4528,2883,1010,2989,559,321,238,455
0400000US41,41,Oregon,2016,10842,5746,3111,6327,3735,1982,4123,805,432,152,697
0400000US42,42,Pennsylvania,2016,15418,7879,4631,9446,5532,3217,5383,866,534,441,654
0400000US44,44,Rhode Island,2016,15532,9096,4208,9035,6181,2801,6065,1743,649,216,791
0400000US45,45,South Carolina,2016,10249,5909,2169,5629,3788,1362,4054,832,628,102,642
0400000US46,46,South Dakota,2016,9176,5456,1609,5360,3706,1069,3287,512,343,316,453
0400000US47,47,Tennessee,2016,8810,5313,1722,5406,3623,1195,2917,416,520,197,540
0400000US48,48,Texas,2016,9016,6273,1097,5514,4199,706,3002,468,479,136,524
0400000US49,49,Utah,2016,6953,3992,1963,4467,2698,1300,2098,244,283,67,432
0400000US50,50,Vermont,2016,17873,10143,4449,10720,6743,3015,6629,1552,857,418,1296
0400000US51,51,Virginia,2016,11432,7121,2800,6966,4717,1844,4024,582,759,185,677
0400000US53,53,Washington,2016,11534,6857,2593,6538,4311,1595,4525,796,893,126,688
0400000US54,54,West Virginia,2016,11291,6291,3034,6507,3931,1884,4073,574,467,197,613
0400000US55,55,Wisconsin,2016,11456,6476,2819,6697,4454,1875,4304,578,609,336,593
=======
GEO.id,GEO.id2,GEO.display-label,YEAR.id,SCHEXPCS_PP,SCHEXPCSFSW_PP,SCHEXPCSFEB_PP,SCHEXPCSIT_PP,SCHEXPCSISW_PP,SCHEXPCSIEB_PP,SCHEXPCSST_PP,SCHEXPCSSPS_PP,SCHEXPCSSIS_PP,SCHEXPCSSGA_PP,SCHEXPCSSSA_PP
Geographic identifier code,Id2,Geographic area name,Year,Current Spending - Total per pupil ($) [1],Current Spending - Salaries and wages per pupil ($),Current Spending - Employee benefits per pupil ($),Current Spending - Instruction - Total per pupil ($) [1],Current Spending - Instruction - Salaries and wages per pupil ($),Current Spending - Instruction - Employee benefits per pupil ($),Current Spending - Support Services - Total per pupil ($) [1],Current Spending - Support Services - Pupil Support per pupil ($),Current Spending - Support Services - Instructional staff support per pupil ($),Current Spending - Support Services - General administration per pupil ($),Current Spending - Support Services - School administration per pupil ($)
0100000US,,United States,2016,11762,6866,2806,7160,4603,1885,4107,680,561,226,651
0400000US01,1,Alabama,2016,9236,5155,2085,5257,3343,1286,3321,566,395,240,573
0400000US02,2,Alaska,2016,17510,8330,5001,9449,5368,3129,7427,1367,1371,248,1072
0400000US04,4,Arizona,2016,7613,4538,1447,4077,2821,877,3105,615,412,135,364
0400000US05,5,Arkansas,2016,9846,5742,1640,5539,3669,1049,3762,524,822,244,514
0400000US06,6,California,2016,11495,6668,2790,6849,4280,1752,4191,670,689,133,757
0400000US08,8,Colorado,2016,9575,6004,1783,5423,3759,1069,3785,502,590,149,695
0400000US09,9,Connecticut,2016,18958,10615,5254,11656,7429,3617,6621,1260,618,437,1124
0400000US10,10,Delaware,2016,14713,7887,4094,9191,5596,2950,4852,597,273,174,957
0400000US11,11,District of Columbia,2016,19159,13600,2386,10758,9547,1592,7637,631,826,2260,1447
0400000US12,12,Florida,2016,8920,5065,1589,5478,3207,971,2984,396,565,82,495
0400000US13,13,Georgia,2016,9769,5882,2175,5975,3974,1536,3216,477,503,119,610
0400000US15,15,Hawaii,2016,13748,7587,3120,8066,5209,2099,4953,1323,442,97,924
0400000US16,16,Idaho,2016,7157,4268,1545,4262,2932,1042,2508,404,348,157,411
0400000US17,17,Illinois,2016,14180,7251,4515,8636,4941,3060,5134,980,529,544,733
0400000US18,18,Indiana,2016,9856,5434,2928,5706,3570,1874,3653,488,389,196,595
0400000US19,19,Iowa,2016,11150,7122,2352,6787,4754,1549,3894,655,643,289,636
0400000US20,20,Kansas,2016,9960,5883,1762,6063,3890,1161,3401,519,391,242,583
0400000US21,21,Kentucky,2016,9863,5998,2443,5708,3874,1530,3533,475,557,233,574
0400000US22,22,Louisiana,2016,11038,5981,3047,6199,3852,1915,4222,680,579,326,659
0400000US23,23,Maine,2016,13278,8009,3220,7587,5336,2185,5216,962,696,487,762
0400000US24,24,Maryland,2016,14206,9551,3765,8848,5731,2616,4935,671,757,109,980
0400000US25,25,Massachusetts,2016,15593,9857,3770,9713,6744,2723,5396,1179,855,186,700
0400000US26,26,Michigan,2016,11668,5763,3740,6823,3841,2508,4416,948,591,196,631
0400000US27,27,Minnesota,2016,12382,7701,2719,8074,5416,1942,3719,360,627,439,493
0400000US28,28,Mississippi,2016,8702,5151,1755,4951,3337,1125,3190,448,409,289,524
0400000US29,29,Missouri,2016,10313,6436,1987,6156,4251,1294,3700,466,478,363,599
0400000US30,30,Montana,2016,11348,6571,2032,6701,4462,1346,4125,743,416,358,632
0400000US31,31,Nebraska,2016,12299,7103,2488,8008,5059,1820,3642,579,389,352,582
0400000US32,32,Nevada,2016,8960,5324,2209,5183,3410,1404,3409,489,535,128,636
0400000US33,33,New Hampshire,2016,15340,8308,3886,9610,5959,2781,5341,1214,515,557,882
0400000US34,34,New Jersey,2016,18402,10492,4914,10716,6870,3116,6999,2025,594,368,922
0400000US35,35,New Mexico,2016,9693,5754,2022,5418,3807,1319,3789,992,252,203,567
0400000US36,36,New York,2016,22366,12303,6461,15746,9407,5101,6130,672,553,349,811
0400000US37,37,North Carolina,2016,8792,5571,1855,5513,3828,1255,2806,443,323,97,553
0400000US38,38,North Dakota,2016,13373,8037,2948,8005,5446,2042,4380,537,460,575,688
0400000US39,39,Ohio,2016,12102,6986,2727,7071,4571,1691,4613,835,507,347,643
0400000US40,40,Oklahoma,2016,8097,4490,1551,4528,2883,1010,2989,559,321,238,455
0400000US41,41,Oregon,2016,10842,5746,3111,6327,3735,1982,4123,805,432,152,697
0400000US42,42,Pennsylvania,2016,15418,7879,4631,9446,5532,3217,5383,866,534,441,654
0400000US44,44,Rhode Island,2016,15532,9096,4208,9035,6181,2801,6065,1743,649,216,791
0400000US45,45,South Carolina,2016,10249,5909,2169,5629,3788,1362,4054,832,628,102,642
0400000US46,46,South Dakota,2016,9176,5456,1609,5360,3706,1069,3287,512,343,316,453
0400000US47,47,Tennessee,2016,8810,5313,1722,5406,3623,1195,2917,416,520,197,540
0400000US48,48,Texas,2016,9016,6273,1097,5514,4199,706,3002,468,479,136,524
0400000US49,49,Utah,2016,6953,3992,1963,4467,2698,1300,2098,244,283,67,432
0400000US50,50,Vermont,2016,17873,10143,4449,10720,6743,3015,6629,1552,857,418,1296
0400000US51,51,Virginia,2016,11432,7121,2800,6966,4717,1844,4024,582,759,185,677
0400000US53,53,Washington,2016,11534,6857,2593,6538,4311,1595,4525,796,893,126,688
0400000US54,54,West Virginia,2016,11291,6291,3034,6507,3931,1884,4073,574,467,197,613
0400000US55,55,Wisconsin,2016,11456,6476,2819,6697,4454,1875,4304,578,609,336,593
>>>>>>> be1901069eb758cd43b021ab7856543a2987291b
0400000US56,56,Wyoming,2016,16442,9622,4315,9750,6200,2729,6197,984,936,326,930
